Source,U_Kinetochores,SMAC,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,Myc,Merlin,MCL_1,Mad2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,Fast_Migration,f4N_DNA,Ect2,E2F1,DR4_5,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,A_Kinetochores
U_Kinetochores,-0.003585380904208581,0.5087397548531233,-0.3295282127511764,-0.44007595857299736,-0.3361724177621889,0,-0.37277557834486047,-0.3274081049888022,-0.31369640752241307,0.30205331031361277,0.29314285714285715,-0.42397857545847295,-0.03235966809890255,-0.37442606636697434,-0.45944467694068203,-0.29337016574585634,-0.29454545454545455,0.17032572441560895,-0.217158069232602,0.3077419546931646,0,-0.21867475275130777,0.5087397548531233,-0.18072221295253682,0.30531758047484675,-0.3345526057030482,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.3271363600317171,0.5460213064322816,0.5460213064322816,0.5237878837277128,-0.6095381467488628,-0.6402555494311688,0.5651637417886746,0.5651637417886746,0.44599351455591735,-0.339027491547797,0.2539549866383892
SMAC,-0.06612046691394804,0.5870461660085261,0.042591182265132844,-0.8,-0.4643504183875498,0,-0.7,-0.4519840940031262,-0.42962430968997556,0.4297472092273322,0.6,-0.6655557761932613,0.01711111111111111,-0.7,-0.5955914355914357,-0.6,-0.6,-0.015040744216964668,-0.054008859293008936,0.43797726814407534,0,-0.060499508357915434,0.5870461660085261,0.04188277133185685,0.4296872992470818,-0.01589794964269018,0.8973902833234895,0.8,0.8996399639963997,0.7135715838441807,0.6647370082754775,0.6647370082754775,0.6651191707155619,-0.7569223338631994,-0.7641998423919555,0.6732292402745019,0.6732292402745019,0.8,0.01509187459412758,-0.09154180904816143
Replication,0.09516256080999136,0.23122944714214172,-0.11894866665433887,-0.23657035848047087,0.42408810325476987,0,-0.18095238095238095,0.4059091247687282,0.3327011160118396,-0.4526689170050043,0.1,-0.10976253060126595,-0.07682086093501506,-0.18095238095238095,-0.2382032691316705,-0.1,-0.1,0.1657848776558108,0.05387341397472142,-0.46644903135287735,0,0.05638345413536398,0.23122944714214172,-0.5269597050880493,-0.5395518895250061,0.02675053204017207,0.27157378116358394,0.23657035848047087,0.2696893295415641,0.08989074167123758,0.18872543842198958,0.18872543842198958,0.16497274050281946,-0.20148455765395049,-0.232751610811658,0.22747674923780417,0.22747674923780417,0.2420359032894054,0.00372281349006546,0.2456918328808247
Rac1,0,0,0,0.7,0,0,0.7,0,0,0,-0.6,0,0,0.9,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pRB,-0.2565482150098445,-0.6572435298408587,-0.6304756894314107,0.4,0.8550372835691471,0,0.3,0.8515196796320851,0.841244381291227,-0.9772876645029364,-0.2,0.7671133238718063,0.09643452908863097,0.3,0.5824150462827796,0.2,0.2,-0.5715408436525276,-0.14479481814231657,-0.9795192073859363,0,-0.14031937495719596,-0.6572435298408587,-0.9112964884685155,-0.94474761039772,-0.5234967510883857,-0.5878851801739414,-0.4,-0.4979609175870858,-0.21575593237814844,-0.7083304781297384,-0.7083304781297384,-0.6872995311050618,0.6511493421654454,0.6767048258802562,-0.7227846440724568,-0.7227846440724568,-0.4,-0.578257259397281,-0.4746715597317156
Plk1_H,-0.0944132765298827,-0.2398571197708567,0.27596556913045034,0.1,0.2909090909090909,1,0,0.28918918918918923,0.29130434782608694,-0.2,0,0.11348157173725386,0.08749673458725182,0,0.2226596675415573,0,0,-0.22061348631459193,0.3722140486255043,-0.2,0,0.38219653549065313,-0.2398571197708567,-0.30355731225296445,-0.3552795031055901,0.29116541353383457,-0.2325,-0.1,-0.18095238095238095,-0.06444771661338902,-0.19919903398809863,-0.19919903398809863,-0.17134064643552993,0.19705567769733265,0.2350628214421318,-0.24011821637660083,-0.24011821637660083,-0.1,0.28127530364372466,-0.2581786755289478
PAK1,0,0,0,0.6,0,0,0.5,0,0,0,-0.5,0,0,0.7,0,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p27Kip1,-0.2599529403047435,-0.5547214385769149,-0.631291009693211,0.3,0.9569600433197298,0,0.2,0.8536614439702255,0.8464579091503379,-0.8778733709336134,-0.1,0.6609641719547433,0.09565157660908843,0.2,0.48155759676900534,0.1,0.1,-0.5718643189261403,-0.14981155883616493,-0.8800043331425751,0,-0.1451081916528405,-0.5547214385769149,-0.9229481853773998,-0.8446428649446673,-0.5227956246931762,-0.4863110671603092,-0.3,-0.3974522292993631,-0.194836521066023,-0.601615273595395,-0.601615273595395,-0.578122148701998,0.5370221106797344,0.5650838201728068,-0.6172002383159887,-0.6172002383159887,-0.3,-0.5782700772479207,-0.4761091132984414
p21,-0.2562724727224278,-0.49711538461538457,-0.5413727597521689,0.2,0.8839999460781156,0,0.1,0.8819721992311174,0.6786386660579578,-0.7947586699743198,0,0.6545966850045416,0.058636523885069625,0.1,0.4,0,0,-0.4855037186621141,-0.1595932796064224,-0.795637151517247,0,-0.15725718314824605,-0.49711538461538457,-0.7647518152799553,-0.9751267054264293,-0.42175299180199144,-0.4,-0.2,-0.3,-0.1984749232924415,-0.5798176827408588,-0.5798176827408588,-0.5715485780914019,0.545367449626571,0.559355635977934,-0.586108558676818,-0.586108558676818,-0.2,-0.4828323049663414,-0.4121287910276085
Myc,0.26682100577618134,0.6628409982441066,0.6375814109654739,-0.4,-0.855993044946791,0,-0.3,-0.8523379188775568,-0.7403375542538978,0.8783993072944936,0.2,-0.7778919187682537,-0.09544480049104662,-0.3,-0.5851414677276747,-0.2,-0.2,0.5797009389067524,0.15391328128295922,0.9806261717325734,0,0.14965849153426553,0.6628409982441066,0.8069893254790536,0.9471862332802179,0.5308687849882434,0.5901836056922927,0.4,0.4984848484848484,0.23962367338656,0.7185076432743747,0.7185076432743747,0.6997096485650459,-0.6667757405294396,-0.690157980124782,0.7317794977611185,0.7317794977611185,0.4,0.5854708157776309,0.4838862723467295
