point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,0.34915010518337447,0.3444122856668458,11.277858315223153,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top60
C(AS_C),C,0.27311067053754134,0.26070868351022664,4.908596787847226,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
AS(AS_C),AS,0.27311067053754134,0.3444122856668458,11.56335864015349,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
E(AS_E),E,0.30381339103374155,0.5712636807749939,10.378887135253507,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(AS_E),AS,0.30381339103374155,0.3444122856668458,11.29688795256224,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(AS_M),AS,0.2803727108591277,0.3444122856668458,11.488026107210855,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
M(AS_M),M,0.2803727108591277,0.265000899715988,3.412149116778805,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
AS(AS_PS),AS,0.1811984308342195,0.34368512278659885,10.938892476948638,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
PS(AS_PS),PS,0.1811984308342195,0.20918117540557118,6.9778861627275415,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
RS(AS_RS),RS,0.24515750370471584,0.5779980805512854,9.16707184112918,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
AS(AS_RS),AS,0.24515750370471584,0.34436042427579094,11.647440803486015,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
RS(C_AS_RS),RS,0.19778284129563334,0.5779980805512854,9.353063840983873,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
C(C_AS_RS),C,0.19778284129563334,0.26070702929872336,5.825144479750207,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
AS(C_AS_RS),AS,0.19778284129563334,0.34436042427579094,11.909691557341127,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
C(C_C),C,0.27739818013597095,0.26070868351022664,5.036407277424671,0.0,0.19444444444444445,0.28125,0.125,top60
C(C_M),C,0.26476312851616945,0.23873244971372387,7.828119016761713,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
M(C_M),M,0.26476312851616945,0.3140555684480989,12.579317020942533,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
C(C_PS),C,0.19701156820072738,0.26070868351022664,5.096502453340881,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top60
PS(C_PS),PS,0.19701156820072738,0.20918116534778924,6.338630465755134,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top60
RS(C_RS),RS,0.33355558541195124,0.5779995223967536,8.244896918368497,0.0,0.14166666666666666,0.16071428571428573,0.125,top60
C(C_RS),C,0.33355558541195124,0.26070868351022664,7.00551232410432,0.0,0.14166666666666666,0.16071428571428573,0.125,top60
E(E_AS),E,0.30381339103374155,0.5712636807749939,10.378887135253505,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(E_AS),AS,0.30381339103374155,0.3444122856668458,11.299770212624093,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
E(E_C),E,0.2067738130665342,0.48094352889566466,11.462298327253524,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top60
C(E_C),C,0.2067738130665342,0.23591324957171134,5.876628022181019,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top60
RS(E_C_AS_RS),RS,0.12153703123008092,0.5779979552152651,8.990141663450999,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
C(E_C_AS_RS),C,0.12153703123008092,0.23590579085909016,6.115198461870786,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
AS(E_C_AS_RS),AS,0.12153703123008092,0.34436041911444026,11.968832570587187,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
E(E_C_AS_RS),E,0.12153703123008092,0.4809340258977209,10.588226819831164,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
E(E_E),E,0.5745053045554657,0.5712636807749939,10.378887135253507,0.0,0.34444444444444444,0.29310344827586204,0.4375,top60
E(E_M),E,0.33831442138879897,0.5712636807749939,12.108802445944468,0.0,0.19523809523809524,0.16666666666666666,0.25,top60
M(E_M),M,0.33831442138879897,0.26834614720283745,4.697584992288261,0.0,0.19523809523809524,0.16666666666666666,0.25,top60
E(E_PS),E,0.33231738992085125,0.5712636807749939,10.378887135253507,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top60
PS(E_PS),PS,0.33231738992085125,0.20918116534778924,6.346864724543479,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top60
RS(E_PS_RS_AS_C_M),RS,0.09855572752756765,0.5672347925895046,14.155984078720703,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
AS(E_PS_RS_AS_C_M),AS,0.09855572752756765,0.34357518059986003,11.449017535145114,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
C(E_PS_RS_AS_C_M),C,0.09855572752756765,0.22499140922193261,9.058095657447945,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
M(E_PS_RS_AS_C_M),M,0.09855572752756765,0.31587399793855764,13.98145165140282,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
PS(E_PS_RS_AS_C_M),PS,0.09855572752756765,0.2072375576201455,7.061972555146992,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
E(E_PS_RS_AS_C_M),E,0.09855572752756765,0.480940892281846,11.45556193276509,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
E(E_RS),E,0.3463510067098061,0.5712636807749939,10.378887135253507,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top60
RS(E_RS),RS,0.3463510067098061,0.5779995223967536,8.249924905079508,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top60
M(M_M),M,0.2696053285960052,0.265000899715988,3.412149116778805,0.0,0.35,0.4166666666666667,0.25,top60
M(M_PS),M,0.2781605966446151,0.265000899715988,3.412149116778806,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top60
PS(M_PS),PS,0.2781605966446151,0.20918116534778924,6.477790021097347,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top60
RS(M_RS),RS,0.5266157041128549,0.5779995223967536,8.244896918368498,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top60
M(M_RS),M,0.5266157041128549,0.265000899715988,3.412149116778806,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top60
PS(PS_PS),PS,0.2765219349603045,0.20918116534778924,6.338630465755134,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top60
RS(PS_RS),RS,0.2727234511125872,0.5672265998186813,13.338279826297306,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top60
PS(PS_RS),PS,0.2727234511125872,0.20723755287510287,6.135494438022429,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top60
RS(RS_RS),RS,0.5779995223967536,0.5779995223967536,8.244896918368497,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top60
AS(AS),AS,0.34915010518337447,0.3444122856668458,11.277858315223149,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top60
C(C),C,0.27739818013597095,0.26070868351022664,5.036407277424671,0.0,0.19444444444444445,0.28125,0.125,top60
E(E),E,0.5745053045554657,0.5712636807749939,10.378887135253507,0.0,0.34444444444444444,0.29310344827586204,0.4375,top60
M(M),M,0.2696053285960052,0.265000899715988,3.412149116778805,0.0,0.35,0.4166666666666667,0.25,top60
PS(PS),PS,0.2765219349603045,0.20918116534778924,6.338630465755135,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top60
RS(RS),RS,0.5779995223967536,0.5779995223967536,8.244896918368497,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top60
