point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,1.0,1.0,-2.0,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top30
C(AS_C),C,0.8611111111111112,1.0,0.00958685231682272,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top30
AS(AS_C),AS,0.8611111111111112,1.0,0.00958685231682272,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top30
E(AS_E),E,1.0,1.0,-2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
AS(AS_E),AS,1.0,1.0,2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
M(AS_M),M,1.0,0.75,2.0,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top30
AS(AS_M),AS,1.0,1.0,-2.0,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top30
AS(AS_PS),AS,0.7554819023569024,1.0,-0.02639580772465554,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top30
PS(AS_PS),PS,0.7554819023569024,0.8739130434782609,-0.013363237080646783,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top30
AS(AS_RS),AS,0.9827586206896551,1.0,0.01015089163237317,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top30
RS(AS_RS),RS,0.9827586206896551,1.0,0.01015089163237317,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top30
C(C_AS_RS),C,0.9864864864864865,1.0,0.2956349206349206,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top30
AS(C_AS_RS),AS,0.9864864864864865,1.0,-0.3174603174603174,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top30
RS(C_AS_RS),RS,0.9864864864864865,1.0,-0.3174603174603174,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top30
C(C_C),C,1.0,1.0,2.0,0.0,0.19444444444444445,0.28125,0.125,top30
M(C_M),M,1.0,0.75,-2.0,0.0,0.1625,0.20833333333333334,0.11666666666666667,top30
C(C_M),C,1.0,1.0,2.0,0.0,0.1625,0.20833333333333334,0.11666666666666667,top30
C(C_PS),C,0.6158263305322129,1.0,-2.0,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top30
PS(C_PS),PS,0.6158263305322129,0.8739130434782609,1.8333333333333335,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top30
C(C_RS),C,1.0,1.0,2.0,0.0,0.14166666666666666,0.16071428571428573,0.125,top30
RS(C_RS),RS,1.0,1.0,-2.0,0.0,0.14166666666666666,0.16071428571428573,0.125,top30
E(E_AS),E,1.0,1.0,2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
AS(E_AS),AS,1.0,1.0,-2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
E(E_C),E,1.0,1.0,-2.0,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top30
C(E_C),C,1.0,1.0,2.0,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top30
E(E_C_AS_RS),E,0.9666666666666667,1.0,0.0014942606805678123,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top30
C(E_C_AS_RS),C,0.9666666666666667,1.0,0.004873327446851851,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top30
AS(E_C_AS_RS),AS,0.9666666666666667,1.0,-0.02131672579271572,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top30
RS(E_C_AS_RS),RS,0.9666666666666667,1.0,-0.025402431569652904,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top30
E(E_E),E,1.0,1.0,-2.0,0.0,0.34444444444444444,0.29310344827586204,0.4375,top30
M(E_M),M,1.0,0.75,-2.0,0.0,0.19523809523809524,0.16666666666666666,0.25,top30
E(E_M),E,1.0,1.0,-2.0,0.0,0.19523809523809524,0.16666666666666666,0.25,top30
E(E_PS),E,0.7971014492753623,1.0,-2.0,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top30
PS(E_PS),PS,0.7971014492753623,0.8739130434782609,1.8333333333333333,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top30
M(E_PS_RS_AS_C_M),M,0.86684033539081,0.75,-0.05004456022485786,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
E(E_PS_RS_AS_C_M),E,0.86684033539081,1.0,-0.07224088419673273,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
C(E_PS_RS_AS_C_M),C,0.86684033539081,1.0,0.04731953108932621,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
AS(E_PS_RS_AS_C_M),AS,0.86684033539081,1.0,0.011633119057539613,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
RS(E_PS_RS_AS_C_M),RS,0.86684033539081,1.0,-0.005861383423595002,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
PS(E_PS_RS_AS_C_M),PS,0.86684033539081,0.8739130434782609,-0.03628801901236385,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top30
E(E_RS),E,0.7619047619047619,1.0,-2.0,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top30
RS(E_RS),RS,0.7619047619047619,1.0,2.0,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top30
M(M_M),M,0.75,0.75,-2.0,0.0,0.35,0.4166666666666667,0.25,top30
M(M_PS),M,0.6354665071770336,0.75,2.0,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top30
PS(M_PS),PS,0.6354665071770336,0.8739130434782609,0.02312312312312377,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top30
M(M_RS),M,0.875,0.75,0.005001136621959928,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top30
RS(M_RS),RS,0.875,1.0,0.005001136621959928,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top30
PS(PS_PS),PS,0.6007442849548112,0.8739130434782609,-1.8333333333333333,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top30
PS(PS_RS),PS,0.6168573607932876,0.8739130434782609,1.1666666666666667,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top30
RS(PS_RS),RS,0.6168573607932876,1.0,2.0,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top30
RS(RS_RS),RS,1.0,1.0,-2.0,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top30
AS(AS),AS,1.0,1.0,2.0,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top30
C(C),C,1.0,1.0,-2.0,0.0,0.19444444444444445,0.28125,0.125,top30
E(E),E,1.0,1.0,-2.0,0.0,0.34444444444444444,0.29310344827586204,0.4375,top30
M(M),M,0.75,0.75,2.0,0.0,0.35,0.4166666666666667,0.25,top30
PS(PS),PS,0.6007442849548112,0.8739130434782609,1.8333333333333335,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top30
RS(RS),RS,1.0,1.0,2.0,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top30
